Item Name,Price,Time of Day
•,$,afternoon
"623 2nd St, Davis, CA 95616",$0 delivery fee,afternoon
Iced Matcha Latte,$6.25,afternoon
Chocolate Croissant,$5.55,afternoon
Strawberry Açaí Refresher,$5.95,afternoon
"Sausage, Cheddar & Egg Sandwich",$6.25,afternoon
Bacon & Gruyère Egg Bites,$6.55,afternoon
Iced Caffè Americano,$4.75,afternoon
Butter Croissant,$5.15,afternoon
"Double-Smoked Bacon, Cheddar & Egg Sandwich",$7.45,afternoon
Iced Starbucks® Blonde Vanilla Latte,$6.75,afternoon
Double Chocolate Brownie,$4.55,afternoon
Iced Caffè Latte,$5.95,afternoon
Iced Brown Sugar Oatmilk Shaken Espresso,$7.15,afternoon
Cheese Danish,$4.75,afternoon
Egg White & Roasted Red Pepper Egg Bites,$6.55,afternoon
Ham & Swiss on Baguette,$9.25,afternoon
Tomato & Mozzarella on Focaccia,$8.95,afternoon
Matcha Crème Frappuccino® Blended Beverage,$6.95,afternoon
"Bacon, Sausage & Egg Wrap",$7.75,afternoon
Strawberry Crème Frappuccino® Blended Beverage,$6.95,afternoon
"Bacon, Gouda & Egg Sandwich",$6.95,afternoon
Featured Medium Roast - Pike Place® Roast,$3.75,afternoon
Featured Dark Roast,$3.75,afternoon
Decaf Pike Place® Roast,$3.75,afternoon
Caffè Misto,$4.75,afternoon
Caffè Americano,$4.75,afternoon
Caffè Latte,$5.55,afternoon
Lavender Oatmilk Latte,$6.45,afternoon
Cinnamon Dolce Latte,$6.45,afternoon
Starbucks® Blonde Vanilla Latte,$6.45,afternoon
Cappuccino,$5.55,afternoon
Caffè Mocha,$6.15,afternoon
White Chocolate Mocha,$6.45,afternoon
Espresso Macchiato,$4.15,afternoon
Caramel Macchiato,$6.15,afternoon
Flat White,$6.15,afternoon
Cortado,$5.75,afternoon
Brown Sugar Oatmilk Cortado,$6.25,afternoon
Coffee Traveler - Veranda Blend®,$26.45,afternoon
Coffee Traveler – Pike Place® Roast,$26.45,afternoon
Coffee Traveler – Dark Roast,$26.45,afternoon
Coffee Traveler – Decaf Pike Place® Roast,$26.45,afternoon
Cold Brew,$5.75,afternoon
Vanilla Sweet Cream Cold Brew,$6.25,afternoon
Salted Caramel Cream Cold Brew,$6.95,afternoon
Chocolate Cream Cold Brew,$6.95,afternoon
Nondairy Vanilla Sweet Cream Cold Brew,$6.25,afternoon
Nondairy Salted Caramel Cream Cold Brew,$6.95,afternoon
Cold Brew with Nondairy Vanilla Sweet Cream Cold Foam,$6.95,afternoon
Nondairy Chocolate Cream Cold Brew,$6.95,afternoon
Iced Coffee,$5.15,afternoon
Iced Shaken Espresso,$5.75,afternoon
Iced Brown Sugar Oatmilk Shaken Espresso,$7.15,afternoon
Iced Hazelnut Oatmilk Shaken Espresso,$7.15,afternoon
Iced Caffè Americano,$4.75,afternoon
Iced Caffè Latte,$5.95,afternoon
Iced LavenderOatmilk Latte,$6.55,afternoon
Iced Starbucks® Blonde Vanilla Latte,$6.75,afternoon
Iced Cinnamon Dolce Latte,$6.75,afternoon
Iced Caffè Mocha,$6.55,afternoon
Iced White Chocolate Mocha,$6.95,afternoon
Iced Caramel Macchiato,$6.55,afternoon
Iced Flat White,$6.55,afternoon
Chai Latte,$5.95,afternoon
Matcha Latte,$5.95,afternoon
Iced Chai Latte,$6.25,afternoon
Iced Matcha Latte,$6.25,afternoon
Iced Lavender Cream Oatmilk Matcha,$6.55,afternoon
Iced Cherry Chai Latte,$6.55,afternoon
Iced Black Tea,$4.55,afternoon
Iced Black Tea Lemonade,$5.15,afternoon
Iced Green Tea,$4.55,afternoon
Iced Green Tea Lemonade,$5.15,afternoon
Iced Peach Green Tea,$5.15,afternoon
Iced Peach Green Tea Lemonade,$5.75,afternoon
Iced Passion Tango® Tea,$4.55,afternoon
Iced Passion Tango® Tea Lemonade,$5.15,afternoon
Matcha Crème Frappuccino® Blended Beverage,$6.95,afternoon
Strawberry Açaí Lemonade Refresher,$6.25,afternoon
Mango Dragonfruit Lemonade Refresher,$6.25,afternoon
Blackberry Sage Lemonade Refresher,$6.95,afternoon
Pink Drink,$6.25,afternoon
Dragon Drink®,$6.25,afternoon
Midnight Drink,$6.95,afternoon
Strawberry Açaí Refresher,$5.95,afternoon
Mango Dragonfruit Refresher,$5.95,afternoon
Blackberry Sage Refresher,$6.25,afternoon
Caramel Frappuccino® Blended Beverage,$6.95,afternoon
Matcha Crème Frappuccino® Blended Beverage,$6.95,afternoon
Caramel Ribbon Crunch Frappuccino® Blended Beverage,$7.15,afternoon
Mocha Frappuccino® Blended Beverage,$6.95,afternoon
Coffee Frappuccino® Blended Beverage,$6.55,afternoon
Mocha Cookie Crumble Frappuccino® Blended Beverage,$7.15,afternoon
Vanilla Bean Crème Frappuccino® Blended Crème,$6.55,afternoon
Lavender Crème Frappuccino® Blended Beverage,$6.55,afternoon
Strawberry Crème Frappuccino® Blended Beverage,$6.95,afternoon
Melon Burst Iced Energy,$7.15,afternoon
Tropical Citrus Iced Energy,$7.15,afternoon
Hot Chocolate,$3.55,afternoon
Lemonade,$3.55,afternoon
Blended Strawberry Lemonade,$6.95,afternoon
Cold Milk,$4.15,afternoon
Steamed Milk,$3.25,afternoon
Vanilla Crème,$3.55,afternoon
Steamed Apple Juice,$3.25,afternoon
Caramel Apple Spice,$4.75,afternoon
Spindrift® Lemon Sparkling Water,$3.25,afternoon
Ethos® Water,$3.25,afternoon
Koia® Cacao Bean Protein Shake,$6.55,afternoon
Koia® Vanilla Bean Protein Shake,$6.55,afternoon
Horizon Organic® Lowfat Chocolate Milk,$3.45,afternoon
Horizon Organic® Lowfat Milk,$3.45,afternoon
Evolution Fresh® Pure Orange,$5.75,afternoon
Evolution Fresh® Organic Defense Up®,$6.95,afternoon
Evolution Fresh® Organic Super Fruit Greens,$6.95,afternoon
Tree Top® Organic Apple Juice,$3.45,afternoon
Olipop® Classic Root Beer,$3.95,afternoon
Olipop® Classic Grape,$3.95,afternoon
Starbucks Tripleshot™ Energy Rich Vanilla,$5.95,afternoon
"Egg, Pesto & Mozzarella Sandwich",$6.95,afternoon
"Bacon, Gouda & Egg Sandwich",$6.95,afternoon
"Double-Smoked Bacon, Cheddar & Egg Sandwich",$7.45,afternoon
"Sausage, Cheddar & Egg Sandwich",$6.25,afternoon
"Turkey Bacon, Cheddar & Egg White Sandwich",$6.25,afternoon
Impossible™ Breakfast Sandwich,$7.45,afternoon
Avocado Spread,$1.65,afternoon
"Bacon, Sausage & Egg Wrap",$7.75,afternoon
"Spinach, Feta & Egg White Wrap",$6.25,afternoon
Bacon & Gruyère Egg Bites,$6.55,afternoon
Egg White & Roasted Red Pepper Egg Bites,$6.55,afternoon
Kale & Mushroom Egg Bites,$6.55,afternoon
"Potato, Cheddar & Chive Bakes",$6.95,afternoon
Rolled & Steel-Cut Oatmeal,$5.15,afternoon
Berry Trio Parfait,$5.55,afternoon
Chocolate Croissant,$5.55,afternoon
Cheese Danish,$4.75,afternoon
Butter Croissant,$5.15,afternoon
Plain Bagel,$3.55,afternoon
Baked Apple Croissant,$5.55,afternoon
"Banana, Walnut & Pecan Loaf",$4.75,afternoon
Cinnamon Coffee Cake,$5.15,afternoon
Petite Vanilla Bean Scone,$2.45,afternoon
Everything Bagel,$3.95,afternoon
Avocado Spread,$1.65,afternoon
Vanilla Bean Custard Danish,$5.45,afternoon
Turkey Sage Danish,$5.95,afternoon
Pumpkin & Pepita Loaf,$4.75,afternoon
Birthday Cake Pop,$4.55,afternoon
Chocolate Cake Pop,$4.55,afternoon
Cookies & Cream Cake Pop,$4.55,afternoon
Double Chocolate Brownie,$4.55,afternoon
Chocolate Chip Cookie,$4.15,afternoon
Tomato & Mozzarella on Focaccia,$8.95,afternoon
"Turkey, Provolone & Pesto on Ciabatta",$9.45,afternoon
Crispy Grilled Cheese on Sourdough,$8.95,afternoon
Ham & Swiss on Baguette,$9.25,afternoon
Eggs & Cheddar Protein Box,$8.75,afternoon
Cheese & Fruit Protein Box,$8.25,afternoon
Avocado Spread,$1.65,afternoon
Spicy Falafel Pocket,$4.75,afternoon
Jalapeño Chicken Pocket,$4.75,afternoon
Perfect Bar® Peanut Butter,$5.55,afternoon
Perfect Bar® – Dark Chocolate Chip Peanut Butter,$5.55,afternoon
KIND® Salted Caramel & Dark Chocolate Nut Bar,$2.75,afternoon
Starbucks Butter Popcorn,$1.75,afternoon
Siete Lime Grain Free Tortilla Chips,$3.15,afternoon
Siete Sea Salt Kettle Cooked Potato Chips,$3.15,afternoon
Madeleines,$2.95,afternoon
Vanilla Biscotti with Almonds,$2.45,afternoon
Marshmallow Dream Bar,$2.95,afternoon
SkinnyDipped Dark Chocolate Cocoa Almonds,$3.55,afternoon
SkinnyDipped Lemon Bliss Almonds,$3.55,afternoon
Avocado Spread,$1.65,afternoon
